Text,Label
#capitalism relies on some form of #slavelabor. If not here then elsewhere. The #patriarchy strengthens under this system so use that as a gauge. #Racism and #religiousrighteousness also strengthen- all to support the #slaveeconomy. As these institutions break humanity will rise.,0
"Also I wouldn't exactly call me puritan since my entire life revolves around sex, unless you think intimately teasing, hypnotising, fucking, clawing up, and dominating women, is ""puritan""",1
"pls don't remind me of those ugly ass names, I forgot them as I should let's not bring it back (uh yh I'm talking about Damon's sons names)",0
Homer is driving drunk and has collided with a woman dancing,0
"First thing read today and #bloodboiling !All non-female tweeps ... imagine not being able to go for a run or a walk without being #harassed #intimidated in some form. Seriously! It's so f#*in unfair.If you know any1 who thinks this is fun, #shame them.https://t.co/Ss13NhfFny",1
Hello....m raj....m with good size and excellent stamina ....A passionate pussy licker...Love to lick every holes were womens desire to b licked...DoggyMissionaryWomen on topMy best pose to spank over bed,1
don’t hate yourself for a guy ladies no matter who the guy is it’s not worth it,0
the definition of cock tease is me driving past the exit for my house bc i have to clock out of work first,0
if you don’t see the problem with what you just said then you have a lot of privilege. go educate yourself you look like a racist and homophobic bitch by saying this,0
#Athleisure #Entrepreneur #PrivateTraining #OneonOne #CoronaVirus #RAINN #WomensDay #TimesUp #MeToo #PrivateTraining - 1:1 Self Defense Training for Women,0
I actually like the double pound a lot better than the c assist,0
No one put personal info out there that KATEY herself didn't share first!! And let's talk integrity... WTF does it say about someone who defends a woman who's a habitual DRUNK DRIVER? That BRAGGED about DRIVING home so drunk she passed out in the YARD! Yeah keep defending that!,0
"One icon you say?? Wow! Well the eye is usually closed when one is licking. Not to talk of the likes.Slut-shaming is never right..will always codemn it, but to condemn it selectively??? Smh..not suprised for a camp where some can blatantly insult their queen.",0
It's sooo cold I need a real man to warm and spoil me? #EuropeanGirls #GreatSex Gives me the urge,0
"Women don't come forward immediately, because its serving their interest - let it be for a movie role, or a job promotion - afterwards, years later, it's ""She said, he said"" and nothing more. #mgtow",1
"The woman of Indian descent testifying in front of the Michigan House committee right now is literally scared for her life, you can tell... What a true American hero. Pray for her and her husband, and for truth to prevail!",0
"just because #blm #lgbtq #hlm and #womensrights isn’t trending anymore , doesn’t mean the problem has been solved . we need to keep fighting . I don’t know about y’all but I’m tired of living like this .",0
"trans people, male trans people in particular, have their own movements advancing their rights. but male people are not included in feminism. we do not fight for male people in feminism. feminism isn't for everyone. that's all-lives-mattering feminism. feminism is for female ppl.",0
Who wants to have some fun My snap is in my bio#horny #boobs #tits #pussy #porn #amateurporn #nsfw #cumslut #blowjob #sex #slut #ass #dick #cock #bbc #gangbang #fuck #fuckme #whore #cumtribute #nude #naked #COVID19 #hmu #cameltoechallenge,1
Because you look like a cunt.,0
"Call it sexist if you want, I don’t care. Personally I don’t want to be worrying about whether my president is on her period while negotiating with terrorists who could blow us to pieces but that’s just me",1
I’m a gold digger plis,1
"No Arteta doesn’t get all the credit? The players also get credit? When we play bad both Arteta and the players get the blame? It’s not one or the other, you’re wrong",0
NurseJaxxxie on OnlyFans!! #womancrush #womensday #photography #lipsfordays #tellmewhatyouwant #onlyfans #strikeapose #authentic #influencer,0
who the fuck is that stupid cunt !,1
"Rih Ms. Lhamo, may your estranged husband burn in hell. Women are being murdered all over the country something have to give,she was a lovely woman. My prayers for her children",1
"Mines got to be taking one out on a date with her short skirt, sexy high heels and a very seducing panty that it barely hides the lovely D. And I'd turn her on so if she gets hard, i have to let that hard D gi away as a punishment/reward",1
Rules of equality between humans? You mean simplistic zero sum privileged-oppressed view in CRT? Theory that qualifies me as privileged based on ethnicity? No one is saying one should have rights due to historical oppression. I'm saying it has shaped Jewish culture from within.,0
"No real fans distinguished these heroes by gender until you stepped in and felt women weren’t “represented” enough. I watched Black Widow do as much damage as Cap with a fucking pistol and was thrilled. Her character history proves shes just as lethal, even without the serum*.",1
What's really frightening is rekt globalists and rekt misandry.,1
"""Sheer hypocrisy. A law designed for equality is tossed so they can favor women only."" #MGTOW #antifeminism #feministshatemen #feminismisawful #antifeminist #antifeminazi #mensrights #mensrightsmovement #mensrightsactivist #mensrightsmatter",1
Cause African women complain of domestic violence when we spank them!,1
Now u know fine women don’t ever want who ACTUALLY wants them lol,1
Babar Azam raped a girl...that most shameless cricketer...meanwhile India won and Pakistan is readying themselves for getting gangbanged by newzealand,1
"When you give her Care she gives it back 10 times more.When you give her Honesty you give her the power the power of choice.When a woman feels empowered with you, there is no limit on the good you will receive.❤#blackwoman #blackmenwholearn #menwholisten #powercouple",0
still a slapper,0
Want to settle down now that you've gotten bored with the cock carousel?,1
That's Misandry,0
HAHAHA the way my eyes are so ugly today,0
Get some of that bitches,1
"WTEs are scams, norms are not adhered to they cause health damage especially to women, children and the elderly. They are a lie that successfully pass off profiteering as an environmental good. They do not reduce landfills. We all know what they are REALLY called - incinerators.",0
Is calling someone frigid the polite way of sayin u a bitch,1
Your women spank you guys everytime you pass infront of her?,0
We shouldn’t tell women what to do but fuck it I’ll still go ahead and tell her what to doNa ment at this point,1
"I want patriarchy and all it’s advocates to know that feminism is rage unleashed against their centuries of crimes against women! You can not exploit, oppress, rape, kill women and expect us to be calm about it. Feminists not just in Nigeria but world wide are rightfully angry",1
oh Assassins right umm Assassins creed? spits water like anwarp the retard oh wait she told you about all the guys thatwere bullying her and she got gangbanged bc corey saw her at the park over there,1
"""Are you thirsty means I'm thirsty is 'basic human expression'""She's basically saying that women live in literal opposite day...everyday",0
but him beginning the call w sexual harassment and sexualising me sits right with you? okay. i just chose to turn the harassment into something i could laugh at,1
I find it astonishing that in 2021 women are not only denied a basic human right to name their own biological sex but nor can they lay claim to identify themselves by their achievements (ref Dr ) for fear of getting above themselves. All naysayers being male of course.,1
misandry makes sense and is valid.,0
Women should stop following men that hit women so there'll be sufficient ones to go around for we single guys,1
"Some Women Know How To Add Value... Most Like Cars, The Value Depreciate After You Spank",1
Don't let the ladies know.,0
It’s hard finding women like that. Y’all hit below the belt all the time,1
"Similarly, it is taboo for men and boys to hit girls and women because generally men are built for combat with other males and can do much more damage. It takes women 5 times longer to recover from a concussion, for example.",1
Una sabi sabi too much. The woman is a Doctor and that means she is expected to be educated and empowered. Y'all should leave her to take her decision. She knows what is good for her,0
That girl doing jk makeover is so lucky,0
Keyboards are a form of manspreading,0
Taurus women are loyal,0
"We you! Post your BEST slapper, grab, ANY play on our app so more college coaches &amp; fans can watch you ball out YOUR play could be featured to all coaches/fans on Twitter/IG/TikTok Hit the link to download Sports Threadhttps://t.co/rq7e59djiw",0
"Lol you’re nutting in women you find ugly? Yet fucking them alone? Men I tell you, no standards",1
"Jesus I am so disconnected from modern culture within my age gap. People round my age using weird words and terms like manspreading, sus, gatekeeping, doxxing etc. Not gonna lie but I feel like a fucking grandpa when talking to some people my age",0
#members of #armedforces cannot be #harassed #DelhiHC,0
"The ""invisible women of the palm oil industry"" work on vast plantations which produce 85% of the world’s most versatile vegetable oil. Palm oil ""ends up in the supply chains of some of the biggest names in the $530 billion beauty business...""",0
Well they need to think again real men don't hit women full stop or even think of doing so.,0
Instead of playing the blame game and picking an easy target bc she seen with ppl see the whole picture. Bc I can almost tell u Scottie got women hes just not open y'all should let ppl live there lives fr,0
"Yep, got a real prize there LOL!Skank - nounDEROGATORY•INFORMALa sleazy or unpleasant person.",1
Like I am with you and willing to stand by you and push back on usage and educate people on the ancient origins of the phrase and I do not want women to be made to feel uncomfortable by it.But I also don't think you can expect 99.9% of people to know the ancient usage v. modern,1
Like it’s literally not my fault I’m ugly &amp; im sorry that I can’t be this masculine child that you want. :/,0
I don't respect Karla Homolka and you shouldn't either.Quit it with the identity politics. Earn your place in this world instead of screeching into the abyss.,0
shall i tie my tits before i beat them?,1
"I care about the suffering of thinking and feeling creatures. I agree people should avoid getting pregnant by mistake, that is obvious. Still, no birth control is fool proof, plus women get raped.",0
Most of the women here don't understand the pain the men are feeling because for $20 they can get a full outfit minus a bra and still have enough left for a 4fo4,0
Can’t believe is the last woman in She’s swapped a house full of boys for a castle full of them! Thanks for voting everyone! Means the world. Let’s get her through tomorrow! X️ 5 FREE votes in the app644 24 03 09020 44 24 03,0
Kanreee rape Steve lesher foundation turn off tanks behind invisible zinzanni,0
It's not A Fucking Car it's THE fucking car. American Muscle bitches!,0
"Deep inside you and begins to thrust rapidly, slamming you against the granite countertop with vigor. “Look at you. Bent over the sink like a whore. I can feel your walls pulsing around me. What a filthy slut for your [title].” They say as they grab your hair, forcing you to ++",1
Head coach Caroline Ouellette is excited to share some great news about the Stingers' #GivingTuesday initiative. An anonymous donor has offered to match gifts to the Concordia women's hockey team up to a total of $5K.https://t.co/JH9gWbVl2z#CUstingers #CUhockey #USPORTS,0
Is that a fucking personal entourage of cops with her too???? Like bitch you clearly expecting some shit from what you're doing. So much so that you got a pig escort yet you still gonna try to look like the victim??,1
"In Western Tigray, 200,000 civilians have been abducted by Amhara militia(Fano) and taken to unknown locations and kept without food and water for four days, they were told by the militias they would not waste bullet but kill the by hunger. Women been raped and killed! Pls act???",1
"The reasoning is that the mate choice preferences for men and women (which goes back to different limiting resources for max. repro. success for each sex) differ and are optimized by mates of different ages: Older adult women less reproductive, younger adult men less productive.",0
the problem about doing therapy for things i have severely repressed is occasionally i'll pull something out of my brain and go haha WHAT THE FUCK and then have to stare at it for a few hours. anyway hi wats up :),0
You forgot as #1 - Be obedient to #DiaperDonnie (suffix - if you're a blond woman you have to let him grab you by the p****),1
"You know, that gaslighting isn't working on most people anymore. Transwomen will always be a subset of men, and when their bodies are dug up a hundred years from now, they'll still be men. Transwomen deserve rights, but not women's rights.",1
My Damn I wanna spank that ass soo bad,1
A man driving a car hits a woman. Whose fault is it? The man's. Why was he driving in the kitchen?,1
Women's wing lead by did something absolutely amazing today! #LPGPriceHikeBeda,0
"The fact's filtered in the snapped pictureMy man Jack ripped over Google like Jack the RipperYoohoo, I'm finna murder this brunette bitchGet pumped like a flat fixed to become a flat fixtureA rap figure to look like you hacked TwitterI'll show you Beastie Boy",1
if yiling laozu’s tits aren’t out. why,1
"Even if that WERE true, which I highly doubt, ...i want for y’all to stop praising white men for not being racist",0
"Its very mild here today and its very ""freeing"" to be in a short skirt for a change",0
my mom never told me to cook bc i need it for my husband later in life. now i’m married and both me and him can cook and i love cooking for him! its as simple as seeing the person you love eat what you cooked happily is make your heart full. its not as low as you think you are,0
"""I hate women &gt;:(""t. has never talked to a woman",1
Homer is driving drunk and has collided with a woman singer,0
let me love you like a woman,1
Thank fuck for that. Must be the car's faults then. Silly cunt,0
"thank you for everything, every song, every performance, every effort you put in your work to give your fans the best and all the love u always have showed us. i’m so grateful to be able to see u become a strong and empowered woman. ilysm forever",0
No! Blue cheese is skank!,0
"Don't believe it was, call me a dumbass or you like man but there are stereotypical assholes out there and I believe you're one of them. Say it was a joke all day long, but the fact you said it kinda puts you in the catagory of a sexist pig.",1
"God will put a song of praise in Vee's mouth and she will have every reason to celebrate for the lord will crown her with the kind of success that people will ask how it happened, y'all should watch out because my girl will succeed and hit it big,whether you lot's like it or not.",0
"Unpopular horror opinions:The original Wicker Man from 1973 is boring, but I like the 2006 version as a guilty pleasureAll of the Chucky movies, Halloween movies, Friday the 13th movies and Texas Chainsaw Massacre movies are good",0
"Women don't want a man until he has a woman. A man can be single and see the same women show him no interest until the day he shows up with a woman. THEN BOOM! They're in his face and his dms trying to slide. But men don't want hoes. Even if they cheat, the woman isn't a slutbag",1
"if you need a man, i can find you one",0
$1.50 | The Mystery of Providence (Vintage Puritan) by John Flavel,0
"Well indeed. Someone, somewhere might be having some fun. How someone can be a puritan libertarian is beyond me. He has to be taking the piss because the one good thing about libertarians is that they are *fun* and he even finds a way to ruin that. #PeterHitchens",0
"Oh, no arguments there, Will. The racism was particularly vile; the dumb blonde stereotype makes my skin crawl, which is probably why it stuck out in my memory. Haven’t seen it in years. Decades?",1
Explain why anonymity was granted. #gamergate,0
I’m sorry I know a lot of ppl say to not bully her but 1. she is the epitome of white feminism which ?? obviously isn’t inclusive at all 2. she has sued her own fans 3. thiS SHIT,1
I speed up the process after the woman cum. I'm free at once and then I'm getting ready for the second round,1
"Someone needs to give Kirsty Wark lessons on dressing. Today she looked like a refugee from a quaker family, she usually looks like a bag lady.",1
Some sneezes are the auditory equivalent of manspreading and y’all already know which sneezes I’m talking about,0
"Healthy Care with Personal Touch'Garvm Pharma Since 1987!!!Pathankot, Punjab - INDIA.#garvm_pharma #absabhogefit #ico #ethereum #happyeaster #womensday #pressforprogress.https://t.co/fA3pKnvfs8, info@gemedpharma.com",0
"Yes, severity. And I agree with you but I don't give a fuck what the numbers say. The fact remains that if a film crew breaks out then the film is shut down until they have recovered. I would like to go to a movie theater again to see something other than a 25 year old movie.",0
My fat ass came from pizza and booze.,0
Ha! She’s spending the whole night blocking people! Don’t come for the Obama Girls if you can’t handle that smoke! Especially with pics like this online! Look at this young girl in a bikini. Does SHE look like a prostitute???,1
"To add,T.Rex were about in the 70's,can't slag em off.",0
Anyone wanna have a wank chat over my girl? #horny #gay #bi #straight #girls #sexy #cumtribute #teenagers #freak #cocktribute #LGBT #babygirl #cock,1
These vegan tacos are the tits,0
GET SOME FUCKING BITCHES I AM BEGGING U GET LAID GET A JOB HUG UR FAMILY MEMBERS GROW A TREE IM BEGGING,1
husband is manspreading as he should!,1
What?? Well let them play if they want who told you I am against it... I was just trying to give some reasons anyway let them do what they want but never call me sexist again,0
"..that supposedly prevent a country from recovering its greatness, &amp; it particularly focuses on the other as liberals, feminists &amp; those with advanced educations. They circle around a single strongman who they personify as the means of recovering the great mythological past....2",0
"It's not like I hated Dark Souls 2, I bought the game twice and spent 260 hours on it. But I believe it's the worst of the Dark Souls games. If there is a first there has to be last, that's how it is... Frigid Outskirts dude... Even Lost Izalith isn't as bad",0
God forbid anyone try to go to school for something they love and shit doesn’t work out of them so they do what they have to do to make ends meet. It’s pretty sad you blame the person and not the system. Your says it all. I hope you grow a heart one day,0
U look stunning and your tits and cleavage looks incredible,1
"Fresh wax , brows done , I’m out here feeling like a brand new woman",0
"Likewise: intersectional feminism, harm reduction, etc get lumped in as “Neoliberal” by misguided aspiring leftists + “allies” because “Neoliberal,” out of context, just gets an easy jump scare out of leftists—aaand cuz 90% of “leftists” don’t actually know what neoliberalism is.",1
Because older women generally look worse and younger women look better. That’s it. There’s a age where women hit the wall and never come back,1
"Your “soulmate” was easily scammed and trapped by a calculating woman with 2 kids who knew how not to get pregnant with Big Poppa for all of those years. You knew that was the ONLY way to trap him, he was ready to walk. He secretly loathes you.",0
Probably won't be the only ones! I support equality between the races but not this movement so it's no surprise for me. To be continued...,0
why did netflix cast a white woman for a LATINA character. i literally was so excited until i realized the majority of the whole cast is white,0
These women gotta be masochist to deal with Future. You know that man don’t care about shit but yet and still...,1
Ferenc is in goal for the women's team. Game about to start from the new look Gut,0
He didn’t trust women and was kinda against feminism :/// don’t ask why I did it,1
i am probably one of the biggest victims of bullying from this shitty community we're in and seeing these fake ass bitches trying to say they're nice and changed is so fucking funny bye dude,1
#womensday #WomensEqualityDay #Feminism 1st book of its kind site view : Amazingly #man's and #woman's faces can be recognized so easily in all #races. There is more. Women love to #chat &amp; like #Jewellery. Men like just one thing...,0
The cock carousel is exhausting.,0
manspreading bros,0
"Indigenous and non-indigenous artists have gathered on stage to celebrate Joyce Echaquan, the 37-year-old Atikamekw woman who died in a Joliette hospital two months ago. The show will be streaming online at for free until January 3rd.",0
Opps you have done it again don't look like that old ladies have naughty thoughts come back soon before my brain explodes boom,1
"What do you say, ? #metooDo you still advocate for believing ALL women? Or are you gonna pass on this one like you did Tara Reade....",1
You ain’t answer my question whore. What’s the third song on whole lotta red. I’m genuinely wondering,1
If she was a woman of color would whores are us be ok with you? I guess sexualizing woman is still just all good so let's go grab em by the...,1
"But, you know, all his songs about fucking bitches/hoes are super puritan.*eye rolls a full rotation*",1
Women Sexy Lingerie for Sex Lace Plus Size Deep V Sheer Chemise Mini Babydoll Bodysuit Teddy Sleepwear,0
"jc stans aren't bitter, they stan a man who wields a whip and write fics of him getting gangbanged, jc stans are SPICY",0
"tbh some things that were lacking from the third narnia (dawn treader) were magical creatures, epic battles (not a big fan of battles on ship) and WOMEN",0
fat joe is fifty years old THINK ABOUT THAT,0
It’s my first Christmas without my father I lost him in January to cancer. Not a day goes by I don’t think of him but I’m blessed he helped raised me and my sister along with my mother to be top tier women.,0
"You look great, Becca! You're not ugly at all.",0
"Yelling questions as she runs out of a briefing not during...like all the other reporters do, but obviously this lying ""female woman"" wants to play the victim and who better to blame but that Playboy reporter. Soon she will be gone and then real women will finally takeover.",1
Hi please could you explain to my daughter and me why there are only 5 women on your Guess Who board and 19 men? #everydaysexism,1
Coming from the individual who voted for Biden and prolific rider of the cock carousel for career advancement is pathetic. That's the best you have. I feel sorry for you. It must be a struggle every day to know that's all you have to celebrate. At least it's not Trump. Right?,0
wow mrs. wray pregnant,0
"The only one that could be arguably Judean was Judas, but nevertheless Judeans come the from original tribes of Israel. Not only that, the Apostles worshipped in the Temple where gentiles were not allowed. The Pharisees led the charge in killing Jesus, you can’t blame all Jews.",0
Yes their outfit very short the skirt ...,1
well i’m glad it’s not just me. all the replies are giving me weird ‘gay men should be hyping me up all the time’ vibes and i just. implying that gay men are misogynistic because of their lack of interest in women feels deeply homophobic,0
It's not games. Most women will always have people interested in in them solely for sex so alot of them have developed ways to tell who a person is beforehand. You have to earn it in a way a woman will appreciate and you don't want a woman who only cares about looks.,1
"This dumbass is trying to give up her ""white privilege""? Don't call me racist or sexist, but some white women are a special category of dumb",1
Women that kill,0
YOURE OLDER YOU STUPID FUCKINGG BINT,0
"Y'all are so beautiful ,how did she let you wear that cloth with that slit,I cannot relate this woman would spank my ass",1
you don't think someone is as ally of feminism if they don't support your personal definition of it? That seems rather arrogant of you I didn't call you stupid for your beliefs but your intentionally bad faith misrepresentation of what I was saying about the Trump supporter.,0
thanks for mansplaining this soy boy,0
dom and that other fucking fish faced cunt are wank anorl fuck them off,1
No way you’re a Newcastle fan and I get my wish soon that fuck ugly cunt won’t last much longer,1
"No one:No one at all:Ex Muslims: Hi, my name is poop bint sharmouta. I am a proud ex muslim who wears tank top and booty shorts at home. Ever since I’ve left Islam I’ve been able to attain 3 degrees and am no longer oppressed. I am doing great in life and a whore to my bf.",0
The gist of his spiel was that young men shouldn't do naseeha to women when they are dressed inappropriately. That only people like him should do the naseeha. He is quite the clown if I do say. .,1
At least you’ll beat team pregnant,0
"How does a crazy new ""proposal"" suddenly slag everything at the last minute? Because McConnell lets it, is the unwritten subtext. Yet another example of how the press is still normalizing his unprincipled despotism.",0
Who is defending a gold digger??? I’m sorry someone hurt you. We are not all bad. Virtual hug,0
"Honestly the main reason the women in the witcher like Geralt so much (well, the ones who aren't scared of him or prejudiced, anyway) is bc he can hit it raw without any risk of pregnancy or STIsThe man is a gift from the sex gods lmao",1
mint chocolate ice cream is for niggas without bitches,0
I need you to save me these hoes tryna rape me,1
He Was Accused Of Sexual Harassment By Students Who Had Written Him Glowing Professor Reviews. His New Book Fights Back.,1
I would like to know where she got that information from? people will say and do literally anything to damage others. Im happy she is trying to help another women business. Lots of things we use on a daily basis comes from other countries whether we like it or not.,0
"Man really tired of everyone giving the Steelers crap about Wednesday game! Back in the day those are the games we lost as you all remember but now we are winning those games. It’s a good year, all! Steelers4Life",0
it's the finale anniversary today sjsksk but normally most of the fancams i see on my merlin twt tl are of the women!,0
"#2000StimulusCheck all I am going to say, Pelosi and Schumer didn't take out a single ridiculous pork stuffer. No one will blame Trump for again threatening Veto. American tax dollars go to Americans, not Pelosi and Schumer's whims!",0
"""heightened tensions?"" Are you afraid to say that NYCPD repressed and abused a lot peaceful protesters? Geez!!",0
Lol i got so many mode from innocent to whore,0
"My cousin was literally just chewing gum in Iraq and her dad says “spit it out, you look like a whore asking for it” ????? Did my guy forget that’s his daughter like where’s the respect wtf",1
"Jamie, I received your good looking orange cookbook last night. Tonight I’ll cook orange chicken with orange-soy gravy. Why? Because those are the ingredients we have on hand. My husband tested positive for Covid last week and we are in total isolation.He is not sick!",0
"Why do you believe a judge (or AG) would violate his sworn oath of office and rule on politics rather than the law? Seriously. Is that what you do? These women and men decide on evidence, not shouting from pols. Don't suppose others lie. It is unwarranted, and I bet you know that",0
Now playing Jaheim Put That Woman First.mp3 by !,0
You can put my fat ass in its place anytime.. male masculinity commands my life. I'm just another skank waving my ass around,1
You DUMB blonde!!!! He is FEEDING America!!!! What have you done to help? STFU,1
"ngl i get the arrogant and classist argument, her posh girl feminism often overlooks class as a factor of oppression but i didn’t know she copied someone’s book that’s kind of horrible",1
i’ve always thought about this.... not just with jimmy o yang but like EVERYONE. because the first time watching it i questioned how the fuck ben schwartz would want to work on that show,0
Mhm I knew you'd feel the same - Let one of these puritan types bully another kid at a con or something and just see what the adults do.,0
TW: misgendering The “lesbian community” does not exist. Lesbians are not a monolith. It is not lesbians’ responsibility to be role models. You turned off comments on this because you know you’re being transphobic. This is why radical feminists are dangerous.,1
Hot slut gets gangbanged . . . . . . . .77240,1
"No Woman wants to be more submissive than a Feminist. They want you to spank that ass, bend them over and make them call you sir. Trust me on this.",1
"for nicer friends you all especially have made my 2020 soosososoososo much better ily all so muchand just to anyone whos ever interacted with me thankyou for being so nice to me, i have never met a community as nice as you all :)and lastly to the gc ily bitches so much-",0
"Yh I understand. A weekly discussion is what we’re looking at now. Once a week, varying topics. And hopefully more speakers. But we need women to discuss women issues.",0
"Why are you lying?How dare you, #HealthCare means 'do no damage'.Children are not old enough to consent to certaindrugs or procedures. Child protection comes first&amp; last.You are a danger to Children &amp; Women. Utter;osdincilsj, make up your own slur.#ProtectOurChildren",0
In the past I was often disgusted with women and men for supporting abortion because I regard their attitude as: my right consequence free sex is so important I'll kill babies to enable it.,0
"I’m going to start demanding that hot lesbians sleep with me, and, if they say no, I’m going to accuse them of misandry and heterophobia. I might throw in a “racist” or “fascist,” too...because why not?",1
Usually the rest of the family yells at me while I am driving (gesticulating at trees or pointing at some distant geological feature). Oh ye of little faith in my abilities.,0
Are you a 6spookies kin??10% - Paranoid over relationships10% - Overwhelmed by everything 10% - Losing motivation to do shit10% - unfunny10% - emotionally repressed10% - unfunny 10% - just a bad person to be friends with10% - desperate for social interaction 20% -,0
You know how BIPOC people usually say they don't have any use for our guilt. There are opportunities to turn that guilt into action. Some of those actions are every day habits and others are once in a lifetime opportunities. What manifest from our actions can be beautiful...,0
That is a very short skirt !,1
"Spank me!, I love dating, contact me at profile link vancouver amateur mature love women horny glasgow encounters sexdating adult hot casual escorts girls sex brisbane reykjavík sexchat boobs wien uk_sex san jose sexting girl",1
is a violent crime and their should be no gray area when you make the accusation. I also want to add that because of these women( their are more than 4) in my life whobsaid this it makes me question when someone is telling me their rape story.,1
Call me sexist but girls don't have to pay for personal trainers in gym.,1
It's annoying when TRAs ask me if I think tr*nswomen are women but won't give me a definition of what women means but somehow still expect me to understand their perception of what counts,0
Like 8 years later and I still wanna get gangbanged by one direction,0
Not you trying to slander the looks of one of the most famous and influencial black women ALIVE who is BARBADIAN for how she looked as minor (yucky) with messy hair. Not when your mother be home looking the same way. Of course you don't understand shit you're American,0
Women will make fun of men for enjoying Rajnikanth movies but will enjoy some netflix show about a 9 year old girl playing chess in her head and defeating 10 people simultaneously. GET BETTER POWER FANTASIES,0
"The only reason men are in charge (relatively new social norms) are they figured out our children are our weakness. Well, girls, if we don't get tough fast, they'll slither back in.Women know how to multi-task, care, love &amp; spank all at the same time.Kids Matter.",1
Seeing this 70 year old white woman driving this challenger reminded me real quick to never judge a book by it’s cover,0
pushing my kenma whore agenda he busts it open for hinata all da time,0
was the manspreading crusade of the 2010s a psyop or was that real ? do we know,0
I’m biting my so mf hard this bitch might fall off,0
I would love to have fuck me like a jock.,0
"It doesn't make you a whore that's a fact so I don't know where the fuck you're getting your ""facts"" from but they are wrong in fact i'm pretty sure it's an opinion you should keep to your damn self it makes you look like an incel. How is that so hard for you to understand?",0
"the punchline of this classic white feminism joke is that the listener of the joke is sexist, but it is actually problematic because it assumes cisheteronormativity and fails to recognize recent advances in reproductive science, in this essay i will",1
Bitches think its attractive to be alot to handle grow the fuck up,1
"Healthy Care with Personal Touch'Garvm Pharma Since 1987!!!Pathankot, Punjab - INDIA.#garvm_pharma #photography #iwd2019 #cryptocurrency #happyeaster #womensday #pressforprogress.https://t.co/fA3pKnvfs8, info@gemedpharma.com",0
Some people live their lives to cock block and buzz kill others. I don't get it!,0
"One of the wildest things about reading Rousseau's CONFESSIONS is how quickly and proudly the dude admits to how submissive he is in bed. You're on like page 15 and he's like ""Oh btw I love dominant women. Also I used to misbehave on purpose so my hot nanny would spank me.""",1
"The damage caused has been particularly severe on those who were already vulnerable. #Women have received a double blow, being more likely to lose all or part of their paid employment and to take on extra unpaid care work. #Jobs #SocialSecurity #WomensRights #womenempowerment",0
Had to turn around and bitch at this old lady without a mask cause she was up my ass in the lineup like ma’am if you wanna risk dying at your old and tender age that’s fine but back the fuck up off me,0
Trophy wife,1
"you cant stay feminism in its entirety goes against islam, but there needs to be a discussion about women's rights among muslims. currently, the way women are being treated, goes against islam.",1
girl I literally have chills...thank you..wow!,0
Whistleblowers framed still#Wagons are circled at an earlier stage and the person making the PD is vilified and often #bullied and #harassed.,0
